Date,Time,S,M,Type,A,B,C
2010-11-04,00:03:50.209589,M003,ON,Sleeping,begin
2010-11-04,00:03:57.399391,M003,OFF
2010-11-04,00:15:08.984841,T002,21.5
2010-11-04,00:30:19.185547,T003,21
2010-11-04,00:30:19.385336,T004,21
2010-11-04,00:35:22.24587,T005,20.5
2010-11-04,00:40:25.428962,T005,21
2010-11-04,00:45:28.658171,T005,20.5
2010-11-04,01:05:42.269469,T001,20
2010-11-04,01:15:48.936777,T002,21
2010-11-04,01:30:59.100184,T003,20.5
2010-11-04,01:46:09.301846,T005,20
2010-11-04,01:56:16.059687,T004,20.5
2010-11-04,02:21:32.138203,T001,19.5
2010-11-04,02:21:32.228625,T002,20.5
2010-11-04,02:32:33.351906,M003,ON
2010-11-04,02:32:38.895958,M003,OFF
2010-11-04,02:41:45.231875,T003,20
2010-11-04,02:56:55.529628,T005,19.5
2010-11-04,03:22:11.942589,T004,20
2010-11-04,03:42:21.82365,M003,ON
2010-11-04,03:42:25.128495,T002,20
2010-11-04,03:42:25.93973,M003,OFF
2010-11-04,03:49:52.412755,M003,ON
2010-11-04,03:49:57.473649,M003,OFF
2010-11-04,03:57:34.772738,T001,19
2010-11-04,03:57:34.856793,T003,19.5
2010-11-04,04:14:32.835757,M003,ON
2010-11-04,04:14:33.203704,M002,ON
2010-11-04,04:14:37.15509,M002,OFF
2010-11-04,04:14:39.470621,M003,OFF
2010-11-04,04:32:57.624613,T005,19
2010-11-04,04:34:17.62167,M003,ON
2010-11-04,04:34:19.224926,M002,ON
2010-11-04,04:34:20.849595,M002,OFF
2010-11-04,04:34:21.407224,M003,OFF
2010-11-04,04:43:04.14794,T004,19.5
2010-11-04,05:13:23.80373,T002,19.5
2010-11-04,05:18:27.278517,T001,18.5
2010-11-04,05:33:37.200386,T003,19
2010-11-04,05:40:27.708148,M003,ON
2010-11-04,05:40:29.816524,M002,ON
2010-11-04,05:40:32.342225,M007,ON
2010-11-04,05:40:33.109478,M002,OFF
2010-11-04,05:40:34.522278,M007,OFF
2010-11-04,05:40:40.482626,M003,OFF
2010-11-04,05:40:40.844463,M003,ON
2010-11-04,05:40:42.452746,M007,ON
2010-11-04,05:40:43.642664,M003,OFF,Sleeping,end
2010-11-04,05:40:44.223548,M003,ON
2010-11-04,05:40:45.939846,M005,ON
2010-11-04,05:40:46.310862,M003,OFF
2010-11-04,05:40:51.303739,M004,ON,Bed_to_Toilet,begin
2010-11-04,05:40:52.342105,M005,OFF
2010-11-04,05:40:57.176409,M007,OFF
2010-11-04,05:40:57.941486,M004,OFF
2010-11-04,05:43:24.021475,M004,ON
2010-11-04,05:43:26.273181,M004,OFF
2010-11-04,05:43:26.345503,M007,ON
2010-11-04,05:43:26.793102,M004,ON
2010-11-04,05:43:27.195347,M007,OFF
2010-11-04,05:43:27.787437,M007,ON
2010-11-04,05:43:29.711796,M005,ON
2010-11-04,05:43:30.279021,M004,OFF,Bed_to_Toilet,end
2010-11-04,05:43:34.261135,M005,OFF
2010-11-04,05:43:35.941892,M007,OFF
2010-11-04,05:43:40.821615,M007,ON
2010-11-04,05:43:45.619681,M007,OFF
2010-11-04,05:43:45.7324,M003,ON,Sleeping,begin
2010-11-04,05:43:52.044085,M003,OFF
2010-11-04,05:43:53.185335,M002,ON
2010-11-04,05:43:53.253809,M003,ON
2010-11-04,05:43:59.493281,M002,OFF
2010-11-04,05:44:04.048766,M003,OFF
2010-11-04,05:44:06.14204,M003,ON
2010-11-04,05:44:11.229146,M003,OFF
2010-11-04,05:44:20.769389,M003,ON
2010-11-04,05:44:23.050748,M003,OFF
2010-11-04,05:53:50.57052,T005,18.5
2010-11-04,06:12:43.168951,M003,ON
2010-11-04,06:12:49.09607,M003,OFF
2010-11-04,06:29:13.902925,T004,19
2010-11-04,06:37:45.523275,M003,ON
2010-11-04,06:37:49.771576,M003,OFF
2010-11-04,06:37:50.734833,M003,ON
